"행정구역별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"행정구역별",교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B),교원1인당 학생수<br>(A÷B)
"종로구",21.84,21.04,20.22,19.45,19.12,18.80,18.47,18.39,17.95,17.68,17.26
"중구",22.52,21.73,21.01,20.36,19.70,19.23,19.11,18.61,18.40,18.40,18.20
"용산구",19.13,18.31,17.75,17.44,17.12,16.50,15.90,15.47,15.04,14.81,14.39
"성동구",20.58,19.50,18.78,18.73,18.08,17.45,17.28,17.23,16.57,16.51,16.71
"광진구",25.02,24.40,23.79,23.05,21.71,21.01,20.77,20.33,19.91,19.95,20.16
"동대문구",23.55,23.02,24.93,23.85,24.66,24.52,23.91,22.94,22.62,22.69,22.67
"중랑구",19.86,18.91,18.02,17.35,16.83,16.44,15.92,15.64,15.26,14.97,14.52
"성북구",24.89,24.36,23.68,22.70,22.93,22.29,21.62,21.59,21.30,21.28,20.99
"강북구",18.36,17.39,16.32,15.96,15.25,14.76,14.05,13.76,13.34,13.10,12.78
"도봉구",19.41,18.59,18.15,17.54,17.14,16.03,15.35,15.09,14.63,14.45,13.95
"노원구",23.86,23.03,22.06,21.29,20.98,20.10,19.50,18.79,18.24,18.01,17.77
"은평구",18.04,17.10,16.53,15.82,15.22,14.76,14.28,13.97,13.66,13.19,12.69
"서대문구",24.71,24.04,23.02,22.31,21.96,21.24,20.54,19.58,19.37,19.74,19.75
"마포구",22.16,21.44,21.05,20.07,19.48,19.08,18.73,18.78,18.59,18.75,18.65
"양천구",19.38,18.24,17.39,16.66,16.20,15.57,15.08,14.59,14.12,13.71,13.46
"강서구",18.14,17.35,16.51,15.57,15.02,14.64,14.19,13.82,13.60,13.23,12.86
"구로구",20.47,19.98,19.37,18.64,18.24,17.68,17.11,16.75,16.33,15.86,15.37
"금천구",16.88,15.99,15.09,14.17,13.65,13.23,12.62,12.07,11.78,11.53,11.10
"영등포구",16.56,15.68,14.91,14.29,13.92,13.37,12.90,12.50,12.10,11.90,11.76
"동작구",23.19,22.29,21.52,20.92,20.73,20.27,19.96,19.97,19.62,20.01,19.93
"관악구",15.51,14.68,14.13,13.63,13.26,12.81,12.72,12.49,12.37,12.04,11.97
"서초구",14.96,14.43,13.86,13.33,12.99,12.79,12.34,12.14,11.73,11.44,11.28
"강남구",18.14,17.37,16.37,15.69,15.19,14.96,14.60,14.21,13.58,13.30,13.33
"송파구",18.60,17.84,17.03,16.23,15.86,15.08,14.46,14.14,13.59,13.16,12.93
"강동구",18.34,17.46,16.50,15.49,15.02,14.37,13.90,13.38,13.22,12.79,12.81
