영업상태명,상세영업상태명,지번주소,도로명주소
영업/정상,정상영업,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 506호 (낙원동)
영업/정상,정상영업,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 (낙원동)
영업/정상,정상영업,서울특별시 종로구 예지동 6번지 1호,
영업/정상,정상영업,서울특별시 성동구 성수동1가 656-1208 성수만세주유소,서울특별시 성동구 왕십리로 109 성수만세주유소 (성수동1가)
영업/정상,정상영업,서울특별시 종로구 서린동 33호   ,
영업/정상,정상영업,서울특별시 종로구 창신동 436번지 79  호   ,
영업/정상,정상영업,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가)
영업/정상,정상영업,서울특별시 종로구 청계천로 159,
영업/정상,정상영업,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,서울특별시 종로구 지봉로 81 (창신동 브라운스톤 창신)
영업/정상,정상영업,서울특별시 종로구 종로6가 289번지 3 호,서울특별시 종로구 종로 266 (종로6가)
영업/정상,정상영업,서울특별시 종로구 종로6가 289번지 57호,서울특별시 종로구 종로 272 (종로6가)
영업/정상,정상영업,서울특별시 구로구 구로1동 650번지 4호 SK허브수 제B동 제118호제119호제121호~126호,서울특별시  구일로10길 27 B동 1층 (제118호제119호제121호~126호)
영업/정상,정상영업,서울특별시 성북구 길음동 1274번지 67호,서울특별시 성북구 길음로13길 22 (길음동 길음뉴타운7단지두산위브아파트)
영업/정상,정상영업,서울특별시 종로구 예지동 6번지 1호,서울특별시 종로구 창경궁로 88 (예지동)
영업/정상,정상영업,서울특별시 종로구 서린동 33번지 영풍빌딩,서울특별시 종로구 청계천로 41 (서린동)
영업/정상,정상영업,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,서울특별시 종로구 종로 347 (숭인동)
영업/정상,정상영업,서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가)
영업/정상,정상영업,서울특별시 종로구 인의동 112번지 2호,서울특별시 종로구 창경궁로 109 (인의동)
영업/정상,정상영업,서울특별시 중구 산림동 207번지 1호 세운청계상가,서울특별시 중구 청계천로 160 세운청계상가 (산림동)
영업/정상,정상영업,서울특별시 중구 남창동 49번지,서울특별시 중구 남대문시장4길 21 (남창동)
영업/정상,정상영업,,서울특별시 중구 마장로 30 (신당동)
영업/정상,정상영업,,서울특별시 중구 청계천로 260-9 (을지로6가 통일의류종합상가)
영업/정상,정상영업,서울특별시 중구 충무로4가 120번지 3   호,서울특별시 중구 퇴계로 217 (충무로4가)
영업/정상,정상영업,,서울특별시 중구 삼일대로 363 (장교동)
영업/정상,정상영업,서울특별시 중구 신당동 776호,서울특별시 중구 마장로 19 (신당동)
영업/정상,정상영업,서울특별시 중구 흥인동 3번지 4호,서울특별시 중구 다산로 274 (흥인동)
영업/정상,정상영업,서울특별시 중구 을지로4가 9번지 6호,서울특별시 중구 을지로 157 (을지로4가)
영업/정상,정상영업,,서울특별시 중구 동호로37길 20 (방산동)
영업/정상,정상영업,,서울특별시 중구 다산로 32 (신당동)
영업/정상,정상영업,,서울특별시 중구 마장로1길 28 (신당동)
영업/정상,정상영업,,서울특별시 종로구 종로44길 14 (창신동)
영업/정상,정상영업,,서울특별시 중구 다산로 32 (신당동)
영업/정상,정상영업,,서울특별시 중구 장충단로 13-20 (을지로6가)
영업/정상,정상영업,서울특별시 중랑구 망우3동 410번지 1호,서울특별시 중랑구 용마산로 494 (망우동)
영업/정상,정상영업,,서울특별시 중구 퇴계로 123 (충무로2가)
영업/정상,정상영업,서울특별시 중구 회현동1가 204번지 메사빌딩,서울특별시 중구 남대문시장10길 2 (회현동1가메사빌딩)
영업/정상,정상영업,서울특별시 중구 신당1동 213번지 8호,서울특별시 중구 마장로1길 22 (신당동)
영업/정상,정상영업,서울특별시 중구 신당1동 773번지,서울특별시 중구 마장로 3 (신당동)
영업/정상,정상영업,서울특별시 중구 을지로6가 17번지,서울특별시 중구 장충단로13길 20 (을지로6가)
영업/정상,정상영업,,서울특별시 중구 다산로 56 제지2층 제비203호 (신당동 남산정은스카이아파트)
영업/정상,정상영업,서울특별시 중구 충무로1가 25번지 8호,서울특별시 중구 명동8나길 47 (충무로1가)
영업/정상,정상영업,,서울특별시 중구 마장로 13 (신당동)
영업/정상,정상영업,,서울특별시 중구 남대문로 81 (소공동)
영업/정상,정상영업,서울특별시 중구 봉래동2가 122번지 11호,서울특별시 중구 한강대로 405 (봉래동2가)
영업/정상,정상영업,서울특별시 중구 신당1동 777번지,서울특별시 중구 마장로1길 21 (신당동)
영업/정상,정상영업,,서울특별시 중구 다산로 32 (신당동)
영업/정상,정상영업,서울특별시 중구 을지로6가 18번지 185호,서울특별시 중구 장충단로 263 (을지로6가)
영업/정상,정상영업,,서울특별시 중구 남대문로 30 (남창동)
영업/정상,정상영업,서울특별시 중구 신당동 772호,서울특별시 중구 장충단로 282-10 (신당동)
영업/정상,정상영업,서울특별시 중구 남창동 51번지 1호,
영업/정상,정상영업,서울특별시 중구 소공동 1번지,서울특별시 중구 을지로 30 (소공동 롯데호텔)
영업/정상,정상영업,서울특별시 중구 봉래동2가 120번지 11호,서울특별시 중구 한강대로 405 (봉래동2가)
영업/정상,정상영업,서울특별시 성동구 금호동1가 481번지 5호,서울특별시 성동구 행당로 6 (금호동1가)
영업/정상,정상영업,,서울특별시 중구 장충단로13길 34 (을지로6가)
영업/정상,정상영업,,서울특별시 중구 을지로45길 62 (신당동)
영업/정상,정상영업,,서울특별시 중구 장충단로 275 (을지로6가)
영업/정상,정상영업,,서울특별시 중구 남대문시장8길 7 (남창동)
영업/정상,정상영업,,서울특별시 중구 을지로36길 35 (오장동)
영업/정상,정상영업,,서울특별시 중구 을지로45길 72 (신당동)
영업/정상,정상영업,,서울특별시 중구 명동8가길 27 (충무로2가)
영업/정상,정상영업,,서울특별시 중구 마장로1길 18 (신당동)
영업/정상,정상영업,,서울특별시 중구 소월로 9 (남창동)
