"행정구역별",2015,2016,2017,2018,2019,2020
"행정구역별",인구 천명당 사설학원수<br>(A÷B×1000) (개),인구 천명당 사설학원수<br>(A÷B×1000) (개),인구 천명당 사설학원수<br>(A÷B×1000) (개),인구 천명당 사설학원수<br>(A÷B×1000) (개),인구 천명당 사설학원수<br>(A÷B×1000) (개),인구 천명당 사설학원수<br>(A÷B×1000) (개)
"종로구",1.7,1.8,1.9,1.8,1.7,1.6
"중구",1.0,1.0,1.0,0.9,0.9,0.9
"용산구",0.7,0.7,0.8,0.7,0.7,0.7
"성동구",0.9,0.9,1.0,1.0,1.0,1.0
"광진구",1.2,1.2,1.2,1.2,1.2,1.2
"동대문구",1.0,1.0,1.0,1.0,1.1,1.0
"중랑구",0.7,0.7,0.7,0.7,0.7,0.7
"성북구",0.9,1.0,1.0,1.1,1.0,1.0
"강북구",0.7,0.7,0.7,0.7,0.7,0.7
"도봉구",1.0,1.1,1.0,1.0,1.0,0.9
"노원구",1.4,1.4,1.4,1.4,1.4,1.4
"은평구",1.0,1.0,1.1,1.1,1.1,1.1
"서대문구",1.0,1.1,1.1,1.1,1.1,1.1
"마포구",1.5,1.6,1.6,1.7,1.8,1.9
"양천구",2.1,2.2,2.2,2.3,2.3,2.2
"강서구",1.2,1.2,1.2,1.2,1.2,1.2
"구로구",0.9,1.0,1.0,1.1,1.0,1.0
"금천구",0.9,0.9,0.9,0.9,1.0,0.9
"영등포구",1.2,1.3,1.3,1.3,1.2,1.2
"동작구",1.1,1.2,1.2,1.2,1.2,1.2
"관악구",0.9,0.9,0.9,0.9,0.9,0.9
"서초구",2.6,2.4,2.5,2.6,2.6,2.7
"강남구",3.8,3.7,4.0,4.2,4.2,4.4
"송파구",1.7,1.7,1.6,1.6,1.6,1.6
"강동구",1.6,1.6,1.5,1.5,1.5,1.6
