번호,k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-연면적,k-주거전용면적,주차대수
39,A13527001,도곡동양재디오빌,주상복합,강남구,복도식,개별난방,1,155,9783,4261,125
53,A13510001,청담삼성1차,아파트,강남구,혼합식,개별난방,1,158,20894,11595,160
66,A13583301,논현동부센트레빌,아파트,강남구,계단식,개별난방,4,160,30443,15710,239
69,A13508001,역삼휴먼터치빌,주상복합,강남구,복도식,개별난방,1,160,12415,4785,123
86,A13508002,역삼경남,주상복합,강남구,계단식,개별난방,1,164,30232,13661,183
107,A13509101,삼성청구타운,아파트,강남구,계단식,개별난방,3,167,20121,14193,0
115,A13508003,대우디오빌플러스,아파트,강남구,복도식,개별난방,1,168,12448,6701,0
133,A13527002,도곡현대그린,아파트,강남구,계단식,지역난방,1,171,21843,14519,156
166,A13585401,개포우성5차,아파트,강남구,계단식,지역난방,4,180,17550,13489,180
184,A13591402,역삼금호어울림,아파트,강남구,계단식,개별난방,3,183,36420,21796,0
188,A13510201,청담삼환,아파트,강남구,혼합식,지역난방,1,184,23782,14943,216
200,A13510002,청담휴먼스타빌,주상복합,강남구,계단식,개별난방,1,191,17558,8044,142
239,A13510003,청담대우유로카운티,아파트,강남구,계단식,지역난방,4,196,41998,24252,373
241,A13586101,도곡대림,아파트,강남구,계단식,개별난방,2,197,22757,16733,126
247,A13509001,삼성현대,아파트,강남구,혼합식,개별난방,1,198,28438,15854,275
248,A13580001,개포현대3차,아파트,강남구,계단식,지역난방,5,198,33306,27029,230
256,A13527003,우성캐릭터199 아파트,주상복합,강남구,계단식,지역난방,2,199,100497,29658,342
281,A13501001,동양파라곤,아파트,강남구,계단식,개별난방,4,203,70291,35547,0
297,A13508004,역삼동부센트레빌,아파트,강남구,계단식,중앙난방,1,206,25649,14923,208
325,A13528001,대치대우아이빌4차,주상복합,강남구,복도식,개별난방,1,210,25697,7304,210
327,A13586102,도곡현대,아파트,강남구,복도식,지역난방,3,211,25346,17927,152
332,A13593901,LG개포자이아파트,아파트,강남구,계단식,지역난방,4,212,60359,32275,502
343,A13510202,청담2차현대아파트,아파트,강남구,계단식,지역난방,2,214,23748,18151,188
359,A13508005,역삼한스빌아파트,아파트,강남구,복도식,개별난방,1,216,17709,8576,156
365,A13510203,청담래미안,아파트,강남구,혼합식,개별난방,2,217,36812,20646,319
414,A13527004,도곡삼성,아파트,강남구,혼합식,지역난방,4,231,22031,15515,219
417,A13580601,개포우성9차,아파트,강남구,계단식,지역난방,2,232,25406,19404,122
420,A13527005,현대비전21,주상복합,강남구,복도식,지역난방,1,232,42432,7899,291
470,A13527006,역삼삼익,아파트,강남구,혼합식,중앙난방,2,247,34810,30859,285
491,A13509003,삼성풍림아파트1차,아파트,강남구,혼합식,개별난방,1,252,25899,19766,281
528,A13580002,개포우성8차,아파트,강남구,혼합식,지역난방,3,261,26746,20760,138
533,A13509004,삼성한솔,아파트,강남구,복도식,개별난방,2,263,38064,20737,303
555,A13510006,청담대림,아파트,강남구,계단식,개별난방,4,271,44038,27080,1
569,A13509005,삼성래미안2차,아파트,강남구,계단식,지역난방,8,275,63607,31922,484
571,A13584101,대치포스코더샵,아파트,강남구,계단식,지역난방,4,276,72319,41858,655
617,A13508006,역삼래미안팬타빌,아파트,강남구,계단식,지역난방,5,288,50041,42490,665
629,A13523001,일원청솔빌리지,연립주택,강남구,복도식,지역난방,13,291,29286,17387,167
635,A13501002,마일스디오빌,주상복합,강남구,복도식,개별난방,1,260,21244,9435,200
650,A13550701,삼성동중앙하이츠빌리지,아파트,강남구,계단식,지역난방,5,298,63733,33866,520
675,A13509006,삼성서광,아파트,강남구,계단식,개별난방,2,304,36837,21910,297
692,A13510102,청담현대3차,아파트,강남구,혼합식,지역난방,4,317,52230,27849,414
698,A13527007,도곡1차아이파크,아파트,강남구,계단식,지역난방,5,321,65079,36256,540
699,A13511001,압구정미성1차,아파트,강남구,혼합식,지역난방,3,322,49176,45702,400
708,A13588601,수서동익,아파트,강남구,계단식,지역난방,4,330,37566,27138,314
729,A13509007,삼성롯데,아파트,강남구,혼합식,지역난방,3,339,52551,27299,418
755,A13527008,도곡경남,아파트,강남구,혼합식,개별난방,4,348,44282,27618,397
792,A13583402,대치쌍용2차,아파트,강남구,계단식,지역난방,4,364,47180,38879,0
834,A13586602,삼성홍실,아파트,강남구,혼합식,지역난방,6,384,49524,41455,391
854,A13527010,역삼우성,아파트,강남구,혼합식,지역난방,2,390,40311,32577,330
861,A13510103,삼성청담공원,아파트,강남구,혼합식,지역난방,8,391,64721,36462,554
882,A13524004,개포우성3차,아파트,강남구,혼합식,지역난방,5,405,63304,53437,419
910,A13527011,아카데미스위트,주상복합,강남구,계단식,지역난방,1,414,102379,52865,762
913,A13524005,개포현대1차,아파트,강남구,계단식,지역난방,6,416,68692,60963,453
959,A13592601,역삼개나리래미안,아파트,강남구,계단식,지역난방,7,438,93113,44847,771
988,A13509009,아이파크삼성동,아파트,강남구,계단식,지역난방,3,449,144636,75409,1261
1008,A13527013,개포4차우성,아파트,강남구,혼합식,지역난방,8,459,73088,59577,0
1032,A13583403,대치우성1차아파트,아파트,강남구,계단식,지역난방,6,476,57097,48099,479
1039,A13550802,삼성 상아2차아파트,아파트,강남구,혼합식,지역난방,4,478,51015,47133,500
1065,A13527014,도곡대림아크로빌,주상복합,강남구,계단식,중앙난방,2,490,144215,73177,888
